feature,precision,recall,fbeta,category
occupation,0.7030118185284026,0.9369918699186992,0.8033108255282074,Exec-managerial
occupation,0.2723735408560311,0.813953488372093,0.4081632653061224,Handlers-cleaners
occupation,0.7265358361774744,0.916083916083916,0.8103735427075899,Prof-specialty
occupation,0.30337078651685395,0.5912408759124088,0.400990099009901,Other-service
occupation,0.5543000627746391,0.8982706002034588,0.6855590062111802,Sales
occupation,0.39818355640535374,0.8966630785791173,0.5514730221780868,Craft-repair
occupation,0.3593947036569987,0.890625,0.5121293800539083,Transport-moving
occupation,0.27635327635327633,0.8434782608695652,0.41630901287553645,Farming-fishing
occupation,0.34379671150971597,0.92,0.500544069640914,Machine-op-inspct
occupation,0.6466165413533834,0.911660777385159,0.7565982404692081,Tech-support
occupation,0.413953488372093,0.9319371727748691,0.573268921095008,?
occupation,0.5284090909090909,0.8815165876777251,0.660746003552398,Protective-serv
occupation,0.5,1.0,0.6666666666666666,Armed-Forces
occupation,0.2,1.0,0.33333333333333337,Priv-house-serv
relationship,0.8048780487804879,0.5011682242990654,0.6177105831533477,Not-in-family
relationship,0.5220475976650202,0.9822575194322406,0.6817568756230575,Husband
relationship,0.5817737998372661,0.959731543624161,0.724417426545086,Wife
relationship,0.8387096774193549,0.3880597014925373,0.5306122448979592,Own-child
relationship,0.8796296296296297,0.43577981651376146,0.5828220858895705,Unmarried
relationship,0.6285714285714286,0.5945945945945946,0.611111111111111,Other-relative
race,0.5452246480654135,0.9088098918083463,0.6815595363540569,White
race,0.517829457364341,0.8630490956072352,0.6472868217054264,Black
race,0.5757575757575758,0.894927536231884,0.700709219858156,Asian-Pac-Islander
race,0.3493975903614458,0.8055555555555556,0.4873949579831932,Amer-Indian-Eskimo
race,0.43137254901960786,0.88,0.5789473684210527,Other
sex,0.5324384787472036,0.9288501951365956,0.6768759571209803,Male
sex,0.629399585921325,0.7735368956743003,0.6940639269406392,Female
native-country,0.5434164296469801,0.9058708687770185,0.6793202614379085,United-States
native-country,0.6486486486486487,0.96,0.7741935483870968,Cuba
native-country,0.42105263157894735,0.8,0.5517241379310345,Jamaica
native-country,0.59375,0.95,0.7307692307692308,India
native-country,0.5198412698412699,0.8972602739726028,0.6582914572864322,?
native-country,0.40384615384615385,0.6363636363636364,0.4941176470588235,Mexico
native-country,0.4117647058823529,0.875,0.56,South
native-country,0.35714285714285715,0.8333333333333334,0.5,Puerto-Rico
native-country,1.0,1.0,1.0,Honduras
native-country,0.627906976744186,0.9,0.7397260273972602,England
native-country,0.7037037037037037,0.9743589743589743,0.8172043010752689,Canada
native-country,0.671875,0.9772727272727273,0.7962962962962963,Germany
native-country,0.6538461538461539,0.9444444444444444,0.7727272727272727,Iran
native-country,0.7051282051282052,0.9016393442622951,0.7913669064748202,Philippines
native-country,0.6388888888888888,0.92,0.7540983606557377,Italy
native-country,0.43478260869565216,0.8333333333333334,0.5714285714285714,Poland
native-country,0.14285714285714285,1.0,0.25,Columbia
native-country,0.75,0.8571428571428571,0.7999999999999999,Cambodia
native-country,0.75,1.0,0.8571428571428571,Thailand
native-country,0.36363636363636365,1.0,0.5333333333333333,Ecuador
native-country,0.3333333333333333,1.0,0.5,Laos
native-country,0.6785714285714286,0.95,0.7916666666666667,Taiwan
native-country,0.4,1.0,0.5714285714285715,Haiti
native-country,0.5,0.75,0.6,Portugal
native-country,0.25,1.0,0.4,Dominican-Republic
native-country,0.4090909090909091,1.0,0.5806451612903226,El-Salvador
native-country,0.8,1.0,0.888888888888889,France
native-country,0.25,0.3333333333333333,0.28571428571428575,Guatemala
native-country,0.5405405405405406,1.0,0.7017543859649124,China
native-country,0.65625,0.875,0.75,Japan
native-country,0.45454545454545453,0.8333333333333334,0.5882352941176471,Yugoslavia
native-country,0.3333333333333333,1.0,0.5,Peru
native-country,0.0,1.0,0.0,Outlying-US(Guam-USVI-etc)
native-country,0.5,1.0,0.6666666666666666,Scotland
native-country,0.2,0.5,0.28571428571428575,Trinadad&Tobago
native-country,0.35,0.875,0.4999999999999999,Greece
native-country,0.16666666666666666,1.0,0.2857142857142857,Nicaragua
native-country,0.21052631578947367,0.8,0.3333333333333333,Vietnam
native-country,0.6,1.0,0.7499999999999999,Hong
native-country,0.6666666666666666,0.8,0.7272727272727272,Ireland
native-country,0.4,0.6666666666666666,0.5,Hungary
native-country,1.0,1.0,1.0,Holand-Netherlands
